org,repo,pr_number,calls,input_tokens,output_tokens,dollars
heliosdrift,commerce-platform,3512,6,11952,7390,0.146706
heliosdrift,commerce-platform,3513,6,12526,7612,0.151758
heliosdrift,commerce-platform,3518,6,12172,7456,0.148356
heliosdrift,commerce-platform,3522,6,11920,7334,0.14577
heliosdrift,commerce-platform,3528,6,11952,7390,0.146706
heliosdrift,commerce-platform,3531,6,13198,7858,0.157464
heliosdrift,commerce-platform,3545,6,12172,7456,0.148356
heliosdrift,commerce-platform,3549,6,12188,7484,0.14882399999999998
heliosdrift,commerce-platform,3552,6,11936,7362,0.14623799999999998
heliosdrift,commerce-platform,3553,6,13084,7804,0.156312
heliosdrift,commerce-platform,3570,6,11920,7334,0.14577
heliosdrift,commerce-platform,3586,6,11904,7306,0.145302
heliosdrift,commerce-platform,3589,6,11968,7420,0.147204
heliosdrift,commerce-platform,3649,6,11920,7334,0.14577
heliosdrift,commerce-platform,3653,6,11920,7334,0.14577
heliosdrift,commerce-platform,3688,6,11920,7334,0.14577
heliosdrift,commerce-platform,3694,6,12540,7636,0.15216
heliosdrift,commerce-platform,3725,6,12510,7582,0.15126
heliosdrift,commerce-platform,3728,6,12540,7636,0.15216
heliosdrift,commerce-platform,3738,6,12172,7456,0.148356
heliosdrift,commerce-platform,3739,6,11904,7306,0.145302
heliosdrift,commerce-platform,3740,6,12540,7636,0.15216
heliosdrift,commerce-platform,3751,6,11920,7334,0.14577
heliosdrift,commerce-platform,3766,6,11952,7390,0.146706
heliosdrift,commerce-platform,3768,6,12540,7636,0.15216
heliosdrift,commerce-platform,3777,6,11920,7334,0.14577
heliosdrift,commerce-platform,3785,6,11936,7362,0.14623799999999998
heliosdrift,commerce-platform,3797,6,12304,7542,0.150042
heliosdrift,commerce-platform,3807,6,11936,7362,0.14623799999999998
heliosdrift,commerce-platform,3811,6,13198,7858,0.157464
heliosdrift,commerce-platform,3822,6,11936,7362,0.14623799999999998
heliosdrift,commerce-platform,3835,6,14668,8398,0.169974
heliosdrift,commerce-platform,3842,6,11952,7390,0.146706
heliosdrift,commerce-platform,3880,6,11920,7334,0.14577
heliosdrift,commerce-platform,3892,6,11920,7334,0.14577
heliosdrift,commerce-platform,3984,6,11920,7334,0.14577
heliosdrift,commerce-platform,4010,6,11920,7334,0.14577
heliosdrift,commerce-platform,4025,6,11920,7334,0.14577
heliosdrift,commerce-platform,4026,6,11936,7362,0.14623799999999998
